ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
251030D6GR3SET,Đang chờ xử lý,2.15E+14,10/29/2025 23:14,,10/23/2025 13:34,GYMI - DỤNG CỤ TẬP GYM,47305935,Preferred(Non-CB),20317610036,"Dây Nhảy Thể Dục, Dây Nhảy Thể Lực Tập Thể Dục Thể Thao Lõi Thép Cao Cấp 2,9m Kèm Tạ Tay Cầm DN01",1.37E+11,Normal Product,,Thể Thao & Dã Ngoại,Dụng Cụ Thể Thao & Dã Ngoại,Thiết Bị Thể Thao,39000,1,XTRA Comm,,38092,,6.00%,2285.52,6.00%,2285.52,4571.04,2285.52,2285.52,4571.04,,0,0.00%,0,100.00%,4571.04,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Others
251029D4XUP5QK,Đang chờ xử lý,2.15E+14,10/29/2025 22:46,,10/29/2025 12:34,Phương Store 01,1133542238,Preferred(Non-CB),29627963528,Áo len cộc vặn thừng TAG SẮT chất mềm mịn hàng QC.,79525820481,Normal Product,,Thời Trang Nữ,Áo len,,121000,1,XTRA Comm,,106480,,6.00%,6388.8,3.00%,3194.4,9583.2,6388.8,3194.4,9583.2,,0,0.00%,0,100.00%,9583.2,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Facebook
251029D4WB2J0U,Đang chờ xử lý,2.15E+14,10/29/2025 22:45,,10/25/2025 12:57,NUTAFOOD VIỆT NAM ,145366767,Preferred(Non-CB),3656822901,Bột Protein Thực Vật Ultimate Plant Bổ Sung Đạm thực Vật,1.88E+11,Normal Product,,Sức Khỏe,Thực phẩm chức năng,Hỗ trợ sức khỏe,289000,1,Shopee Comm,,260100,,6.00%,15606,0.00%,0,15606,15606,0,15606,,0,0.00%,0,100.00%,15606,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Others
251029D4DNFAVG,Đang chờ xử lý,2.15E+14,10/29/2025 22:37,,10/29/2025 20:16,Giá Rẻ Mỗi Ngày68,1230404778,C2C(Non-CB),29916268763,Set 2 bát gấu- BÁT LỢN HEO  kèm 2 thìa - Bát sứ cho bé siêu xinh,1.29E+11,Normal Product,,Mẹ & Bé,Đồ dùng ăn dặm cho bé,Đồ dùng cho bé,48000,1,Shopee Comm,,131,,6.00%,7.86,0.00%,0,7.86,7.86,0,7.86,,0,0.00%,0,100.00%,7.86,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Facebook
251029D4DNFAVF,Đang chờ xử lý,2.15E+14,10/29/2025 22:37,,10/29/2025 20:16,The Garden Tea & Coffee,55718056,Shopee Mall(Non-CB),14155706616,"Set Trà Sữa Tự Pha Trân Châu Đường Đen  THE GARDEN, Nguyên Liệu Làm Trà Sữa Phúc Long, Matcha 10 vị 6-8 Ly",48441344678,Normal Product,,Thực phẩm và đồ uống,Đồ uống,Trà & trà túi lọc,32220,1,Shopee Comm,,89,,6.00%,5.34,0.00%,0,5.34,5.34,0,5.34,,0,0.00%,0,100.00%,5.34,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Facebook
251029D3VPSV4J,Đang chờ xử lý,2.15E+14,10/29/2025 22:27,,10/27/2025 8:34,chuyendungcuphunxamhp,159903487,Preferred(Non-CB),26661424454,Đầu ghép máy thần thánh Plastic 7 cái/vỉ và ngòi máy thần thánh,2.59E+11,Normal Product,,Sắc Đẹp,Dụng cụ làm đẹp,Khác,19500,1,Shopee Comm,,4500,,6.00%,270,0.00%,0,270,270,0,270,,0,0.00%,0,100.00%,270,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Others
251029D3CRJS3S,Đang chờ xử lý,2.15E+14,10/29/2025 22:18,,10/25/2025 8:09,Ăn vặt cùng Én,1346088033,C2C(Non-CB),43257548080,"Hộp khoảng 65 cây kẹo mút trái cây hương tổng hợp Welly Candy, kẹo mút trái cây siêu ngon",2.61E+11,Normal Product,,Thực phẩm và đồ uống,Đồ ăn vặt,Kẹo,57000,2,Shopee Comm,,114000,,6.00%,6840,0.00%,0,6840,6840,0,6840,,0,0.00%,0,100.00%,6840,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Facebook
251029D2WRVU60,Đang chờ xử lý,2.15E+14,10/29/2025 22:10,,10/28/2025 15:27,ELLY - Handbag Store,30614698,Preferred(Non-CB),28514208248,Móc khóa quả cầu gấu bông lông xù đáng yêu trang trí balo túi xách,2.52E+11,Normal Product,,Túi Ví Nữ,Phụ kiện túi,Charm và phụ kiện gắn túi,26000,1,Shopee Comm,,23920,,6.00%,1435.2,0.00%,0,1435.2,6900,0,6900,,0,0.00%,0,100.00%,6900,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Facebook
251029D2WRVU60,Đang chờ xử lý,2.15E+14,10/29/2025 22:10,,10/28/2025 15:27,ELLY - Handbag Store,30614698,Preferred(Non-CB),43653170150,"Túi đeo vai thời trang dáng thuyền phong cách kèm móc khóa bông hoa xinh xắn, túi khóa kéo đơn giản",3.05E+11,Normal Product,,Túi Ví Nữ,Túi đeo chéo & Túi đeo vai,,99000,1,Shopee Comm,,91080,,6.00%,5464.8,0.00%,0,5464.8,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Facebook
251029D2RWDV0C,Đang chờ xử lý,2.15E+14,10/29/2025 22:07,,10/27/2025 12:07,HEAKOS,434456876,C2C(Non-CB),24791807838,Bấm Bút Gel Nhanh Khô Đen/Đỏ/Xanh Mực ST Đầu 0.5 Mm Mềm Bút Cầm Văn Phòng Viết Văn Phòng Phẩm Đồ Dùng Học Tập HEAKOS,2.34E+11,Normal Product,,Văn Phòng Phẩm,Bút Các Loại,Bút & Mực,1098,1,Shopee Comm,,1098,,6.00%,65.88,0.00%,0,65.88,65.88,0,65.88,,0,0.00%,0,100.00%,65.88,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB2_1_20251103230539,,,,,Others
