ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
251126PWKVGV3A,Đang chờ xử lý,217787720201329,2025-11-25 23:35:20,,2025-11-25 00:17:34,Gạo Store Hoàng Mai,265385542,Preferred(Non-CB),26310373345,Chảo chống dính sâu lòng mini 18cm đun bếp từ có nắp,256562673391,Normal Product,,Nhà cửa & Đời sống,Dụng cụ nhà bếp,Chảo,175000,1,XTRA Comm,,165000,,5.00%,8250,1.25%,2062.5,10312.5,8250,2062.5,10312.5,,0,0.00%,0,100.00%,10312.5,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PWC8DKEY,Đang chờ xử lý,217787464241020,2025-11-25 23:31:08,,2025-11-24 14:10:35,Đũa dùng 1 lần,83790939,C2C(Non-CB),22627146418,sét 1.000 cái thìa nhựa dùng 1 lần Cao Cấp,175624258547,Normal Product,,Nhà cửa & Đời sống,Trang trí tiệc tùng,"Chén, đĩa dùng một lần",110000,1,Shopee Comm,,110000,,5.00%,5500,0.00%,0,5500,5500,0,5500,,0,0.00%,0,100.00%,5500,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),12698972954,Quần da cá lạnh xuất hàn cho bé trai có 4 màu size từ 10-22 cân,29705851186,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Quần/Chân váy,9000,1,XTRA Comm,,6955,,0.00%,0,7.50%,521.625,521.625,0,23831.775,23831.775,,0,0.00%,0,100.00%,23831.775,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),22355108724,Set 3 chi tiết 2 áo 1 quần Minnie Disney dư xịn cho bé gái siêu xinh,176102655547,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ quần áo,29000,1,XTRA Comm,,22011,,0.00%,0,7.50%,1650.825,1650.825,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),22745436760,Bộ cotton cộc tay hoạ tiết NY M.L.B màu đen cho bé trai size từ 12-35 cân,194366135346,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ quần áo,39000,1,XTRA Comm,,29639,,0.00%,0,7.50%,2222.925,2222.925,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),23370804713,[ HÀNG HOT ] Bộ thể thao thun lạnh in hình siêu nhân cho bé trai size từ 12-25 cân,204363720355,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ quần áo,29000,1,XTRA Comm,,22011,,0.00%,0,7.50%,1650.825,1650.825,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),25919575977,Set 3 chi tiết kèm yếm hm cho bé trai bé gái size từ 10-22 cân,176382868232,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ đồ liền thân,49000,1,XTRA Comm,,37267,,0.00%,0,7.50%,2795.025,2795.025,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),12698972954,Quần da cá lạnh xuất hàn cho bé trai có 4 màu size từ 10-22 cân,29392626669,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Quần/Chân váy,9000,1,XTRA Comm,,6957,,0.00%,0,7.50%,521.775,521.775,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),19183384193,Set bộ Disney Minnie dư xịn dòng nhí cho bé gái,177827488166,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ quần áo,29000,1,XTRA Comm,,22411,,0.00%,0,7.50%,1680.825,1680.825,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
251126PW1WG6D2,Đang chờ xử lý,217787117253167,2025-11-25 23:25:18,,2025-11-25 07:41:59,inongsoc.kid,863161263,Preferred(Non-CB),19889803610,Bộ cotton cộc tay gấu Palm Angle cho bé trai size từ 14-38 cân,137611641967,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ quần áo,29000,1,XTRA Comm,,22311,,0.00%,0,7.50%,1673.325,1673.325,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,CB4_8_20251106042339,,,,,Facebook
